Question,Answer
Gold and Jewelry shop ka pata bata dein?,Hamari shop Sarafa Bazar mein waqe hai.
Kya dukaan ka koi phone number hai?,Ji haan, aap hamare phone number 0313******** par call ya WhatsApp kar sakte hain.
Ahmad Raza sahib ka contact number kya hai?,Ahmad Raza sahib ka number 0313******** hai, aap call ya WhatsApp kar sakte hain.
WhatsApp par rabta karne ka number?,Aap hamare phone number 0313******** par WhatsApp message kar sakte hain.
Dukaan ka mobile number chahiye tha?,Hamari shop ka number 0313******** hai.
Aap ki shop par kaun kaun se karat ka sona milta hai?,Hum har karat (24K 22K 21K aur 18K) ka sona bechte hain.
Kya aap ke paas har karat ka gold hota hai?,Ji haan, hamare paas har karat (24K, 22K, 21K, aur 18K) ka gold dastiyab hai.
Kaunse karat ka sona bechte hain Ahmad Raza?,Ahmad Raza sahib ki shop par har karat (24K, 22K, 21K, aur 18K) ka sona bechha jata hai.
Sona kis karat ka mil jaye ga?,Hum har karat (24K 22K 21K aur 18K) ka sona bechte hain.
Jewelry banane ki mazdoori kya chal rahi hai?,Sone ki making charges (mazdoori) jewelry ke design ke hisab se badalti hain.
Making charges har cheez par same hoti hain?,Nahi, making charges (mazdoori) jewelry ke design ki bariki aur mehnat ke hisab se badalti hain.
Mazdoori kis tarah hisab hoti hai?,Sone ki making charges (mazdoori) jewelry ke design ke hisab se badalti hain.
Gold design ke making charges kya hain?,Sone ki making charges (mazdoori) jewelry ke design ke hisab se badalti hain.
Kya aap apni marzi ka design banwa sakte hain?,Ji bilkul! Hum aap ki pasand ke mutabiq order par bhi jewelry tayyar karte hain.
Order par sona banwane ka kya tareeqa hai?,Aap apna pasandida design laa kar order de sakte hain, hum bilkul waisa hi tayyar kar dein ge.
Customized gold jewelry ban jati hai?,Ji bilkul! Hum aap ki pasand ke mutabiq order par bhi jewelry tayyar karte hain.
Kya aap log custom orders lete hain?,Ji bilkul! Hum aap ki pasand ke mutabiq order par bhi jewelry tayyar karte hain.
Aaj ka sone ka rate kya chal raha hai?,Sone ka rate rozana badalta hai. Taza tareen rate jaan'ne ke liye aap hamare number 0313******** par raabta kar sakte hain.
Gold ka live rate bata dein?,Live gold rate har lamha badalta hai isliye naye rate ke liye aap hamare number 0313******** par foran call karein.
Aaj per tola gold price kya hai?,Gold ka rate market ke hisab se badalta rehta hai. Is waqt ka live rate aap call par jaan sakte hain.
10 gram sone ki kya qeemat hai aaj?,Sone ka rate rozana badalta hai. Taza tareen rate jaan'ne ke liye aap hamare number 0313******** par raabta kar sakte hain.
Kya aap ke paas shaadi ke sets hote hain?,Ji haan! Gold and Jewelry Shop par shaadi ke mukammal bridal sets order par bohot khubsoorat tayyar kiye jaate hain.
Bridal jewelry mil jaye gi?,Ji haan! Hum shaadi (bridal) ke mukammal jewelry sets order par bohot khubsoorat tayyar karte hain.
Wedding jewelry ke designs hain?,Ji haan! Hamari shop par shaadi ke sets, rings, bangles, aur jhumkon ke latest designs maujood hain.
Shaadi ka set banwana ho toh kitna time lagta hai?,Heavy bridal set ho toh design ke hisab se 10 se 15 din lag sakte hain.
Kya aap log sonay ki churiyan bechte hain?,Ji haan! Gold and Jewelry Shop par bangles (churiyan) aur kangan ke behtareen designs dastiyab hain.
Gold bangles ke designs dikha dein?,Aap hamari shop Sarafa Bazar tashreef laayein, hum aap ko bangles aur baqi saare designs dikha denge.
Kangan banwane hain gold ke?,Ji haan! Hamare paas kangan aur churiyon ke behtareen designs maujood hain aur order par bhi bante hain.
Bangles order par ban jati hain?,Ji haan! Hum aap ki pasand aur size ke mutabiq bangles order par tayyar karte hain.
Engagement ke liye ring mil jaye gi?,Ji haan! Hamari shop par engagement aur nikah ke liye khubsoorat gold rings ke designs maujood hain.
Sone ki ring dekhni hai?,Aap hamari shop Sarafa Bazar tashreef laayein, hum aap ko rings ke saare designs dikha denge.
Gents gold rings banti hain aap ki shop par?,Ji haan! Hum mardon ke liye gold ya silver mein customized rings bhi tayyar karte hain.
Ladie rings ke designs hain?,Ji haan! Hamari shop par ladies rings aur engagement rings ke bohot se latest designs dastiyab hain.
Kya aap gold chains bhi bechte hain?,Ji haan! Hamari shop par har weight mein khoobsurat chains aur lockets ke designs maujood hain.
Sone ka locket set mil jayega?,Ji haan! Hamare paas light weight aur heavy locket sets ke behtareen designs dastiyab hain.
Gold chain ke designs dekhne hain?,Aap shop par aakar chains aur lockets ke latest designs dekh sakte hain.
Light weight jewelry mil sakti hai?,Ji haan! Hamare paas light weight rings, chains aur earrings bhi hote hain jo rozana pehn'ne ke liye behtareen hain.
Roz pehn'ne wali jewelry mil jaye gi?,Ji haan! Hamare paas light weight aur daily-wear jewelry ke bohot pyare designs hain.
Kya aap log chandi ka kaam karte hain?,Hum mukammal taur par gold ka kaam karte hain, lekin special order par chandi (silver) ka kaam bhi ho jata hai.
Silver jewelry mil sakti hai?,Chandi ka kaam hamari shop par sirf special orders par kiya jata hai, aam taur par hum gold mein deal کرتے hain.
Chandi ke bartan banwane hon toh?,Aap shop par aakar rabta kar sakte hain, special order par chandi ka kaam ho jata hai.
Sone ki purity ki kya guarantee hoti hai?,Ji haan, hamari shop se liye gaye har sone par pure hone ki mukammal official raseed aur guarantee di jaati hai.
Kya aap log guarantee card dete hain?,Ji bilkul! Hamari shop se khareede gaye har gold item ki official raseed aur guarantee certificate diya jata hai.
Sona asli hai ya nakli kaise pata chalega?,Hum customer ke samne computerized testing machine se sone ki purity check kar ke tasalli karwate hain.
Computerized testing hoti hai aap ki dukaan par?,Ji haan! Hum customer ke samne computerized testing machine se sone ki purity check kar ke tasalli karwate hain.
Kya purana sona becha ja sakta hai aap ki shop par?,Ji haan, hum purana sona wapas bhi lete hain aur market rate ke mutabiq behtareen qeemat dete hain.
Purani jewelry exchange ho sakti hai?,Aap apna purana sona laa kar hamari shop se naye designs ke sath exchange kar sakte hain, kaat market ke rules ke mutabiq hoti hai.
Sona wapas karne par kitni kaat hoti hai?,Sona bechte ya exchange karte waqt kaat market ke usoolon aur sone ki halat ko dekh kar tay ki jaati hai.
Gold exchange policy kya hai Ahmad Raza ki shop ki?,Aap apna purana sona laa kar exchange kar sakte hain. Kaat market ke mutabiq hogi aur naye design ki mazdoori alag hogi.
Kya payment credit card se ki ja sakti hai?,Ji bilkul, hamari shop par cash ke sath sath credit card aur online bank transfer ki sahulat bhi maujood hai.
Online payment accept karte hain aap log?,Ji haan, aap online banking ya bank transfer ke zariye bhi payment kar sakte hain.
Kya main check ke zariye payment kar sakta hoon?,Check clear hone ke baad hi jewelry deliver ki jaati hai isliye cash ya online transfer ko tarjeeh di jaati hai.
Card swipe ki sahulat hai?,Ji haan, hamari shop par credit aur debit card swipe karne ki sahulat maujood hai.
Dukaan par aane ke liye koi appointment leni parti hai?,Aap bina appointment ke bhi Monday se Sunday (Friday ke ilawa) kisi bhi waqt Sarafa Bazar aa sakte hain.
Kya pehle se time fix karna zaroori hai dukaan aane ke liye?,Bina appointment ke aap kisi bhi waqt aa sakte hain, hamari shop open hoti hai.
Ahmad Raza sahib kis waqt shop par hote hain?,Ahmad Raza sahib aksar auqat shop par hi maujood hote hain aur customers ko khud deal karte hain.
Kya meri baat direct Ahmad Raza sahib se ho sakti hai?,Ji bilkul! Aap dukaan par aakar direct Ahmad Raza sahib se mil sakte hain ya unke number 0313******** par baat kar sakte hain.
Gold and Jewelry shop kab se bani hui hai?,Hamari shop Sarafa Bazar mein ek purani aur mutamad (trusted) shop hai jo saalon se khalis sone ka kaam kar rahi hai.
Aap ki shop kitni purani hai?,Yeh Sarafa Bazar ki aik jani mani aur purani shop hai jo ke aala quality aur aitmad ka doosra naam hai.
Kya aap log home delivery karte hain?,Sone ki security ki wajah se hum sirf shop par hi dealing karte hain, home delivery ki sahulat nahi hai.
Gold ki delivery ghar par mil sakti hai?,Sone ki security ki wajah se hum home delivery nahi karte, aap ko shop par hi aana hoga.
Order dene ke liye kitne paise pehle dene hote hain?,Order confirm karne ke liye kuch advanced (biyana) dena hota hai aur baqi payment delivery ke waqt hoti hai.
Biyana (advance) dena lazmi hai order par?,Ji haan! Order confirm karne ke liye kuch advanced (biyana) dena hota hai.
Order cancel karne par advanced wapas milega?,Order cancel karne ki surat mein karigar ki mehnat ki katoti kar ke baqi faisla market policy ke mutabiq hota hai.
Heavy jewelry banne mein kitne din lagte hain?,Heavy bridal ya wedding sets banne mein zyadatar 10 se 15 din ka waqt lag sakta hai.
Simple ring kitne din mein ban jati hai?,Simple design jaise ring ya tops 5 se 7 din mein tayyar ho jaate hain.
Kya aap investment ke liye gold biscuits bechte hain?,Ji haan! Investment ke liye 24K gold biscuits aur baars bhi hamari shop se mil jaate hain.
Sona biscuit form mein mil jayega?,Ji haan! Hamare paas investment ke liye 24K pure gold biscuits maujood hote hain.
Investment ke liye konsa sona sab se acha hai?,Investment ke liye 24 karat (24K) gold biscuit ya baars sab se behtareen hote hain.
Dukaan par sab se zyada rash kis waqt hota hai?,Shaam ke waqt dukaan par zyadatar rash hota hai agar aap tasalli se design dekhna chahte hain toh doper ke waqt tashreef laayein.
Sukoon se design dekhne ke liye kis waqt aayein?,Aap Monday se Thursday doper 2 baje se shaam 6 baje ke darmayan aayein toh sukoon se dealing ho sakti hai.
Aap ki shop ki sab se khas baat kya hai?,Hamari khususiyaat mein khalis sona, jadeed designs, behtareen karigari aur munasib mazdoori shamil hain.
Ahmad Raza ki shop par log kyun aate hain?,Ahmad Raza sahib ki shop apni imandari, pure gold aur aala quality ke designs ki wajah se jani jati hai.
Sone ka rate barhne wala hai ya kam hone wala hai?,Gold rate international market aur dollar ki qeemat ke mutabiq badalta rehta hai is bare mein pehle se kuch kehna mushkil hota hai.
Future mein gold rate kya hoga?,Gold rate ke baare mein pehle se andaza lagana mushkil hai kyunki yeh rozana market ke hisab se up-down hota hai.
Kya aap ke paas jhumkon ke designs hain?,Ji haan! Hamare paas her tarah ke earrings, jhumkay aur tops ke designs maujood hain.
Gold tops mil jayenge?,Ji haan! Hamari shop par rozana pehn'ne ke liye light weight gold tops maujood hain.
Kya aap log bacchon ki jewelry bhi banate hain?,Ji haan! Hum bacchon ke liye choti rings, bangles aur doreen (chains) bhi tayyar karte hain.
Bacchon ke liye gold items hain?,Ji haan, bacchon ke liye light weight gold rings aur bracelets dastiyab hain.
Kya gold rate pure Pakistan mein same hota hai?,Zyadatar shehron mein thoda bohot farq hota hai kyunki har sheher ki sarafa association apna rate thoda alag set kar sakti hai.
Karachi aur Lahore ka gold rate same hota hai?,Baaz auqat shehron ke rates mein kuch saikron (hundreds) ka farq hota hai, aam taur par thoda bohat diffence hota hai.
Gold par tax kitna hota hai?,Sone par tax hukoomat ki mojudah policy aur raseed ke mutabiq lagaya jata hai jo ke bill mein shamil hota hai.
Bill par tax lagta hai gold ke?,Ji haan, hukoomat ke qanoon ke mutabiq gold jewelry ke bill par muqarrar tax lagaya jata hai.
Kya aap bina bill ke sona bechte hain?,Nahi, hamari shop par har deal proper raseed aur bill ke sath hoti hai taake customer ka record mehfooz rahe.
Raseed gum ho jaye toh kya hoga?,Agar raseed gum ho jaye toh hum apne computer record se check kar ke verify kar sakte hain lekin raseed sambhal kar rakhna behtar hai.
Purani raseed dikha kar sona exchange ho jayega?,Ji haan! Agar hamari shop ki purani raseed maujood ho toh exchange process mazeed aasan aur fast ho jata hai.
Kya aap log diamonds mein bhi deal karte hain?,Hum zyadatar gold aur gold jewelry mein deal karte hain, diamond jewelry sirf special order par hi banayi jati hai.
Diamond ring mil sakti hai order par?,Ji haan, agar aap order dein toh hum aala quality ke diamonds lagakar ring tayyar karwa sakte hain.
Gold par polish dubara ho sakti hai?,Ji haan! Agar aap ki jewelry purani lag rahi hai toh hum us par dubara polish kar ke bilkul naya jaisa kar dete hain.
Jewelry saaf karwani ho toh charges kya hain?,Hamare purane customers ke liye jewelry ki safai aur polish bilkul munasib charges ya free mein ki jaati hai.
Kala sona kya hota hai?,Sona kabhi kala nahi hota, baaz auqat sweat (paseene) ya chemicals ki wajah se polish dundli ho jati hai jo wash karne se theek ho jati hai.
Kya aap log pure white gold bechte hain?,Ji haan, special order par 22K ya 18K white gold ki jewelry bhi tayyar ki jaati hai.
White gold aur yellow gold mein kya farq hai?,Donon mein sone ki miqdar barabar ho sakti hai, bas white gold mein silver ya palladium mix kar ke uska rang badla jata hai.
Aap ki shop par safety ke kya intezamat hain?,Hamari shop Sarafa Bazar mein hai aur yahan security ke behtareen intezamat aur CCTV cameras lagaye gaye hain.
CCTV cameras lagay hue hain shop par?,Ji haan, customer aur shop ki safety ke liye mukammal CCTV monitoring hoti hai.
Kya Ahmad Raza sahib ke paas karigar dukaan par hi hote hain?,Ji haan, hamare expert karigar workshop mein hotey hain jo shop ke sath hi judi hui hai.
Karigar apna kaam khud karte hain ya bahar se hota hai?,Hamare paas apne expert aur khususi karigar maujood hain jo har design ko bariki se khud tayyar karte hain.
Dukaan par aane ka address rasta dubara samjha dein?,Shop Sarafa Bazar ke main chowk ke paas waqe hai. Aap kisi se bhi "Gold and Jewelry Shop" ka pooch sakte hain.
Ahmad Raza jewellers kahan hai?,Shop ka poora naam "Gold and Jewelry Shop" hai aur yeh Sarafa Bazar mein waqe hai.
Online catalog dekhne ka koi tareeqa hai?,Aap hamare number 0313******** par WhatsApp kar ke mojudah designs ki pics mangwa sakte hain.
WhatsApp par designs ki photos mil sakti hain?,Ji haan! Aap hamare WhatsApp number par message karein, hum aap ko latest designs bhej dein ge.
Kya aap log kangan par nagine (stones) lagate hain?,Ji haan! Hum designs ke mutabiq asli ya artificial nagine (stones/rubies) bhi lagate hain.
Real stones wali jewelry mil sakti hai?,Ji haan, aap ke order par hum real precious stones (yakoat, zamarrud) jewelry mein laga sakte hain.
Nagine lagane ke charges alag hote hain?,Stones aur nagine ki qeemat un ki quality ke hisab se alag se calculate ki jaati hai.
Gold rate subah kis time aata hai?,Sarafa market ka official gold rate aam taur par doper 1 se 2 baje ke darmayan open hota hai.
Market rate kis time khulta hai rozana?,Rozana doper ke waqt naya rate market mein aata hai, tab tak pichle din ka rate chalta hai.
Aap ki shop se sona khareedne ka kya faida hai?,Hamari shop se aap ko 100% khalis sona, puka bill, guarantee card aur market se munasib mazdoori milti hai.
Trustworthy shop kyun hai yeh?,Ahmad Raza sahib pichle keee saalon se imandari se kaam kar rahe hain aur poore Sarafa Bazar mein un ka aitmad hai.
Kya aap log wholesale mein bhi deal karte hain?,Hum zyadatar retail customers ko deal karte hain lekin bare orders par wholesale rates ka khayal rakha jata hai.
Retail shop hai ya wholesale?,Yeh aik retail shop hai jahan aam customers ke liye har tarah ki gold jewelry milti hai.
Sone ka rate upar kyun jata hai?,Jab international market mein gold mehanga hota hai ya dollar ka rate barhta hai, toh Pakistan mein bhi sona mehanga ho jata hai.
Sona sasta kab hoga?,Sone ki qeemat ka daromadar global market par hota hai, is liye is ke sasta hone ka sahi waqt batana mushkil hai.
Kya aap log nose pin (laung) bechte hain?,Ji haan! Hamare paas gold nose pins, laung aur nath ke bohot pyare aur chote designs maujood hain.
Nose pin gold ki mil jaye gi?,Ji haan, hamari shop par har size ki gold nose pins dastiyab hain.
Bracelets ke designs hain aap ke paas?,Ji haan! Ladies aur bacchon ke liye gold bracelets ke jadeed designs hamari shop par maujood hain.
Gold bracelet banwana ho toh design mil jayenge?,Ji bilkul, aap shop par aakar hamare designs dekh sakte hain ya apna design bhi laa sakte hain.
Kya aap log sona girwi (mortgage) rakhte hain?,Nahi, hamari shop par sona girwi rakhne ya loan dene ka koi kaam nahi hota, hum sirf khareed-o-froasht karte hain.
Sona rakh kar paise udhaar mil sakte hain?,Nahi, hamari shop par udhaar ya girwi rakhne ka system bilkul nahi hai.
Kya installlment par jewelry milti hai?,Nahi, hamari shop par installment (qiston) par jewelry nahi milti, saari dealing cash ya on-the-spot clear hoti hai.
Qiston par sona mil sakta hai Ahmad Raza ki shop se?,Nahi, Ahmad Raza sahib ki shop par qiston (installments) ka koi system nahi hai.
Aap ki shop par kaunse designs sab se zyada bikte hain?,Hamare paas calcutta design, antique design aur modern light weight jewelry sab se zyada pasand ki jaati hai.
Latest jewelry design kaunse aaye hain?,Is waqt market mein light weight laser-cut designs aur antique gold jewelry bohot trend mein hai.
Sone ka rate check karne ka website link hai koi?,Hum official sarafa market ka rate follow karte hain. Aap direct hamare number par call kar ke live rate pooch sakte hain.
Aap log roz ka rate kahan se dekhte hain?,Hum All Pakistan Supreme Sarafa Association ka official aur tasdeeq shuda rate follow karte hain.
Kya 22 karat gold asli hota hai?,Ji haan! 22 karat gold mein 91.6% khalis sona hota hai aur baki hissa doosri dhaton ka hota hai taake jewelry mazboot banay.
24K aur 22K mein kya farq hai?,24K bilkul 100% pure hota hai jis ki jewelry nahi ban sakti kyunki woh naram hota hai jabkay 22K mein 91.6% gold hota hai jo jewelry ke liye perfect hai.
21 karat gold mein kitna sona hota hai?,21 karat gold mein takreeban 87.5% khalis sona maujood hota hai.
18 karat gold sasta kyun hota hai?,Kyunki 18 karat gold mein 75% sona hota hai aur baki doosri dhatein hoti hain, isliye is ka rate 22K ya 24K se kam hota hai.
Kya 18K gold jaldi kharab ho jata hai?,Nahi! 18K gold doosri dhaton ki milawat ki wajah se zyada sakht aur mazboot hota hai aur is ka rang bhi kharab nahi hota.
Sone ka set saaf karne ka tarika kya hai ghar par?,Ghar par halkay garm pani aur mild soap se naram brush ke zariye saaf kiya ja sakta hai lekin behtar hai aap shop par laakar polish karwayein.
Jewelry dho dho kar kharab toh nahi hoti?,Sona kabhi kharab nahi hota lekin bar bar chemicals ya tez detergent lagane se uski chamak dundli ho sakti hai.
Kya aap log raseed par karat likhte hain?,Ji bilkul! Hamari har raseed par sone ka weight, karat, making charges aur total price wazeh likhi hoti hai.
Raseed par weight sahi likha hota hai?,Ji haan, hum computerized weigher (kanda) use karte hain aur bilkul accurate weight raseed par darj karte hain.
Weight check karne ka kanda accurate hai?,Hamari shop par bilkul precise aur calibrated computerized weighing scale istemal hota hai jo rati rati ka sahi weight batata hai.
Ahmad Raza ki shop Sarafa bazar mein kis jagah hai?,Hamari shop Sarafa Bazar ke andar waqe hai. Aap market aakar kisi se bhi "Gold and Jewelry Shop" ka pooch sakte hain.
Gold and Jewelry shop ka address kya hai?,Hamari shop Sarafa Bazar mein waqe hai.
Kya mujhe aap ki shop ka location mil sakta hai?,Hamari shop Sarafa Bazar mein hai. Aap wahan aakar hamare number 0313******** par call kar ke mazeed rasta pooch sakte hain.
Aap ki dukaan kis sheher mein hai?,Hamari shop Sarafa Bazar mein hai (Aap apne sheher ka naam yahan likh sakte hain).
Ahmad Raza sahib se rabta karne ka number?,Aap Ahmad Raza sahib ki shop par 0313******** par rabta kar sakte hain.
Kya is number par WhatsApp maujood hai?,Ji haan! 0313******** par WhatsApp bhi maujood hai aap message kar sakte hain.
Shop ka contact number kya hai?,Hamari shop ka number 0313******** hai.
Emergency mein kis number par call karein?,Aap hamare official number 0313******** par call kar sakte hain.
Aap se baat karne ka waqt kya hai?,Shop Monday se Thursday aur Saturday se Sunday tak khuli hoti hai aap in dino mein rabta kar sakte hain.
Friday ko shop kyun band hoti hai?,Sarafa Bazar mein aam taur par Friday ko weekly off (chutti) hoti hai isliye hamari shop bhi band hoti hai.
Kya sunday ko shop khuli hoti hai?,Ji haan! Sunday ko hamari shop open hoti hai aur aap aaram se tashreef laa sakte hain.
Sunday ki timing kya hai?,Sunday ko bhi shop aam dino ki tarah open hoti hai bas Friday ko chutti hoti hai.
Weekend par shop open hoti hai?,Weekend par Saturday aur Sunday dono din shop open hoti hai sirf Friday ko off hota hai.
Monday ko kis time shop khulti hai?,Monday ko shop subah open ho jati hai aur raat tak khuli rehti hai (Friday ke ilawa rozana ka yahi schedule hai).
Thursday ko shop khuli hogi?,Ji haan! Monday se Thursday tak shop bilkul khuli hoti hai.
Kya kal shop open hai?,Agar kal Friday nahi hai toh shop bilkul khuli hogi. Friday ko hamari chutti hoti hai.
Gold rate din mein kitni baar badalta hai?,Gold rate aam taur par din mein ek baar subah ke waqt international market ke mutabiq set hota hai lekin baaz auqat market crash ya boom hone par dobarah bhi badal sakta hai.
Kya aap mujhe abhi ka gold rate bata sakte hain?,Live gold rate har lamha badalta hai isliye naye rate ke liye aap hamare number 0313******** par foran call karein.
Kya aap log 21 karat gold bechte hain?,Ji haan! Hamare paas 21 karat (21K) gold ki jewelry bhi tayyar ki jaati hai.
18 karat gold mil jayega?,Ji bilkul! Hamare paas 18 karat gold ke light-weight aur modern designs bhi maujood hain.
Karat mein kya farq hota hai?,24K sab se khalis sona hota hai. 22K aur 21K zyadatar jewelry mein istemal hota hai kyunki yeh mazboot hota hai aur 18K light jewelry ke liye use hota hai.
Khalis sona kaunsa hota hai?,24 karat (24K) gold ko sab se khalis sona mana jata hai aur iske biscuits ya baars milte hain.
Jewelry ke liye sab se behtareen karat kaunsa hai?,Jewelry banane ke liye 22 karat aur 21 karat sab se behtareen aur mazboot maane jaate hain.
Bangles ke designs hain aap ke paas?,Ji haan! Gold and Jewelry Shop par bangles (churiyan) aur kangan ke behtareen designs dastiyab hain.
Necklace set banwana ho toh?,Aap shop par aakar hamare catalog se necklace ke designs pasand kar sakte hain ya apna koi design bhi de sakte hain.
Locket ke designs dekhne hain?,Hamari shop par har weight mein khoobsurat lockets aur chains ke designs maujood hain.
Earrings mil jayenge?,Ji haan! Hamare paas her tarah ke earrings, jhumkay aur tops ke designs maujood hain.
